연월,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원, 충북 ,충남,전북,전남,경북,경남,제주,소계
200008 ,,,,,,,,,267500 ,18000 ,1700 ,500 ,23300 ,19250 ,19050 ,13240 ,,362540 
200009 ,,,,,,,,,93300 ,25000 ,32000 ,,28200 ,107700 ,,,,286200 
200010 ,,,,,20 ,,,,66100 ,200 ,,63500 ,3400 ,52300 ,,30 ,,185550 
200011 ,,,,,,,,,132000 ,,,35000 ,32500 ,61560 ,82000 ,10000 ,,353060 
200012 ,,,,,,,,30000 ,111489 ,10500 ,36400 ,41000 ,91300 ,14300 ,6000 ,41100 ,,382089 
200101 ,,,,5500 ,,,,,64830 ,,,11710 ,53000 ,20000 ,5000 ,,,160040 
200102 ,,,,,7000 ,,,,45500 ,30000 ,,46500 ,6050 ,16300 ,32000 ,,5500 ,188850 
200103 ,,5000 ,,,,,,,91000 ,64000 ,2000 ,75100 ,72700 ,39900 ,30200 ,960 ,,380860 
200104 ,,,,,,,,,97750 ,3000 ,9000 ,3200 ,9200 ,47000 ,11500 ,12000 ,,192650 
200105 ,,,,,10212 ,,,,81800 ,22560 ,24627 ,52100 ,66800 ,92300 ,5000 ,,,355399 
200106 ,,,,,1400 ,,,,132210 ,16000 ,27550 ,,63600 ,81700 ,16040 ,34000 ,,372500 
200107 ,,,,,,,,,248700 ,,54000 ,3940 ,57000 ,55000 ,11000 ,,,429640 
200108 ,,,,,21000 ,,,,93600 ,13000 ,2000 ,164790 ,71200 ,7150 ,,36000 ,,408740 
200109 ,,,,,,,,,87000 ,20400 ,13050 ,10000 ,17870 ,2000 ,15000 ,40000 ,,205320 
200110 ,,,,,,,,,117000 ,,44600 ,7600 ,36600 ,,,69600 ,,275400 
200111 ,,,,,,,,,151600 ,20000 ,96600 ,200640 ,65171 ,325667 ,93000 ,41000 ,,993678 
200112 ,,,,,,,8000 ,,68700 ,78300 ,86450 ,22200 ,16700 ,35800 ,35000 ,10700 ,,361850 
200201 ,,,,,,,,30000 ,55700 ,,66500 ,,5000 ,74500 ,21500 ,56780 ,,309980 
200202 ,,,,,,,,,186000 ,,68900 ,64450 ,12000 ,63500 ,1000 ,14500 ,,410350 
200203 ,,,,,,,,,43500 ,,30580 ,53500 ,62100 ,36300 ,,50 ,,226030 
200204 ,,,,,,,,,184920 ,29000 ,46290 ,56300 ,150900 ,490920 ,,1306 ,,959636 
200205 ,,,,,,,,140 ,90325 ,24035 ,56800 ,66200 ,84500 ,504415 ,42000 ,10700 ,,879115 
200206 ,,,,14000 ,,,21500 ,,36400 ,354 ,28000 ,102000 ,181700 ,353500 ,15000 ,42500 ,,794954 
200207 ,,,,1000 ,,,,,80500 ,70 ,35000 ,239000 ,239000 ,618520 ,28300 ,1000 ,,1242390 
200208 ,,,,,320 ,,,18000 ,24000 ,,1000 ,305500 ,30050 ,221680 ,,250 ,,600800 
200209 ,,,,,,,,,44000 ,26000 ,7000 ,77000 ,36900 ,364100 ,,25000 ,,580000 
200210 ,,,,,13000 ,,,,208000 ,47400 ,34000 ,117878 ,151300 ,169300 ,17700 ,6000 ,,764578 
200211 ,,,,,,,,,75150 ,,4300 ,151800 ,25200 ,72400 ,,,,328850 
200212 ,,,,,,,,,66020 ,18000 ,3800 ,87380 ,10600 ,104300 ,97900 ,42700 ,,430700 
200301 ,,,,,,,,,29300 ,,34950 ,,12900 ,149950 ,75000 ,2000 ,,304100 
200302 ,,,,,,,,,22200 ,,31000 ,43680 ,44300 ,95500 ,137700 ,14000 ,,388380 
200303 ,,,,,,,,,58240 ,,21000 ,36430 ,91500 ,146000 ,,600 ,,353770 
200304 ,,,,,10000 ,,,,1200 ,,12000 ,13000 ,72670 ,103400 ,,400 ,,212670 
200305 ,,1500 ,,,,,,,4030 ,,7000 ,61600 ,22000 ,323200 ,38500 ,40 ,30 ,457900 
200306 ,,,,,,,,,,200 ,40 ,27000 ,20000 ,118100 ,53500 ,11000 ,,229840 
200307 ,,,,,,,,,20500 ,1500 ,7500 ,10100 ,104650 ,12750 ,10800 ,9000 ,,176800 
200308 ,,,,,,,,,15090 ,,6200 ,,16100 ,249200 ,81000 ,2000 ,,369590 
200309 ,,,,400 ,,,,,127000 ,500 ,200 ,2100 ,15000 ,,35000 ,,,180200 
200310 ,,,,,,,,16000 ,19320 ,,600 ,15000 ,7400 ,64000 ,5000 ,,,127320 
200311 ,,,,14700 ,,,,9700 ,120602 ,20000 ,10700 ,200 ,8500 ,56000 ,27900 ,,,268302 
200312 ,,,,,,,2000 ,,76003 ,,21305 ,43000 ,800 ,53500 ,46800 ,8600 ,,252008 
200401 ,,,,,,,,,20500 ,,7700 ,54000 ,10000 ,75000 ,17500 ,1333 ,,186033 
200402 ,,,,,,,,,18940 ,,10000 ,11500 ,1000 ,1500 ,23500 ,,,66440 
200403 ,,,,,,,,,88400 ,1500 ,,,16600 ,,5000 ,,,111500 
200404 ,,,,,,,,,26800 ,,800 ,,36300 ,20000 ,10500 ,430 ,,94830 
200405 ,,,,400 ,,,,,82400 ,97 ,8520 ,24000 ,6500 ,35501 ,,10 ,,157428 
200406 ,,,,,,,,10000 ,13805 ,,25200 ,53400 ,9250 ,55250 ,,1000 ,7000 ,174905 
200407 ,,,,,6000 ,,,,37300 ,,6000 ,22800 ,34000 ,34000 ,15500 ,500 ,,156100 
200408 ,,,,,,,,,400 ,,6000 ,,39000 ,18000 ,,1300 ,,64700 
200409 ,,,,,,,,,6872 ,400 ,,,7000 ,400 ,,,,14672 
200410 ,,,,,,,,,16500 ,,,,8800 ,16000 ,,,,41300 
200411 ,,,,,,,,,43500 ,,18150 ,1500 ,59100 ,51000 ,43050 ,1580 ,,217880 
200412 ,,,,,,,,,29600 ,13347 ,27100 ,,1450 ,32700 ,,,,104197 
200501 ,,,,,,,,,4000 ,,1860 ,,16950 ,600 ,1300 ,120 ,,24830 
200502 ,,,,,,,,,14803 ,,11500 ,,34430 ,40 ,120 ,,,60893 
200503 ,,,,,160 ,,,,3500 ,,56000 ,,26000 ,9500 ,,,,95160 
200504 ,,,,,,,,,2012 ,6600 ,8000 ,,53850 ,51800 ,,21200 ,,143462 
200505 ,,,,,,,,,1102 ,,40070 ,19800 ,36350 ,127800 ,,32000 ,,257122 
200506 ,,,,100 ,2000 ,,,,7000 ,,34200 ,45700 ,38050 ,321100 ,,,1170 ,449320 
200507 ,,,,,60000 ,,,,36100 ,7400 ,5500 ,21925 ,5000 ,561300 ,,6500 ,,703725 
200508 ,,,,,39500 ,,,,18850 ,,21500 ,62000 ,15200 ,170200 ,860 ,,6200 ,334310 
200509 ,,,,,,,,,29064 ,,,81000 ,14000 ,94600 ,1500 ,,,220164 
